pnid,native,minimized,native_eloss,minimized_eloss,af2norelax,af2relax
2NP0_2_B,2104.868718649772,1007.3876486182344,838.4485212299063,-1061.1081625998995,1423.8659246309733,704.6089836518529
2XL1_1_A,1013.8861386228255,1104.642566359563,-353.2402699201866,-2263.9594632470053,591.0359817708745,-158.98302465692905
4AU3_3_E,1348.2009978201443,1179.9822079461173,2605.7639334639493,483.92043212918196,1968.7208747213504,1702.367612164599
2D7S_2_B,312.98597313823916,388.15120877633467,236.50535152001646,-1739.8780506030732,1539.3316544194904,-135.72110159418776
2XB2_6_G,8.131473519018073,-670.3279677183702,-509.55600028779935,-2906.650329314187,3304.1488473344116,531.6045877047673
4KBB_2_C,2169.341853821529,676.7376861912519,25.6721201575063,-1021.9950583897763,1234.2145452366626,1043.0719184448385
1JAC_2_B,1506.0657661334812,2229.847790712974,922.5552644575349,-90.2168447903405,3041.0387958075394,1883.9666539329928
1TOQ_2_B,1658.651990326207,1482.525431501243,624.2114169324549,52.55388040992638,5365.8275512592645,2195.397666094256
4V1T_2_C,1874.8840466036308,1349.114490607889,252.5276756952239,-398.4835858154299,1829.544443907484,1761.4953904521637
4J2J_2_D,1114.1558326233655,1321.3833614644234,-45.644841531519546,-392.2105108735665,15042.592208178232,1459.4648928624083
3OY6_2_P,13990.451579376038,112.52683863213224,6369.179481507951,-2334.371843525168,1455.2827320684723,-276.879313877527
3HKI_3_C,2723.9983663250086,2158.354480705547,2544.1542945753354,0.02060286212301321,2777.5186646615707,1745.6891649771624
4GXB_2_B,994.0941801349486,2169.6034427152326,-110.0507305521719,-698.6528695488155,2795.2256771452426,2025.1603892922276
4YFB_2_B,-206.4094617083265,-393.11491487452395,-1554.0088230887932,-2564.5367647799358,709.8674832797856,-771.3195908570551
2V2F_1_A,-67.52675174255023,394.87817830873723,-1630.576115157573,-1796.0745770379176,1030.4947792560633,652.8461558598262
2Z5N_2_B,1497.0455559118705,830.6512683256069,-429.03037611468943,-1388.6075392409348,2670.581624547867,781.9624144591305
1UH1_2_B,1574.9047239213028,2162.5672717195253,1884.807366361414,837.0387644577007,2739.0892848527646,1651.4865142729661
2VZG_1_A,-554.8585166232897,-228.85110943998143,-2012.6580698783343,-2258.332189680881,22.514770043377666,-603.1455268354919
4ISQ_2_D,1755.196028535815,1260.145960688676,153.5529231552143,-779.8550526219987,1784.9937614658002,846.8211564500543
4N8C_3_X,452.17940710013113,640.8346369703131,-923.3243034428768,-1332.7079028632218,1461.7988854934301,470.2823248927607
2XS1_2_B,1617.083548014712,1379.0174237301874,569.59178258217,-603.03460939802,18424.944950121324,985.2704595335014
2LMB_1_A,-336.4036220009275,-1765.6638342721485,-2913.1577068641627,-4760.367441047256,-458.6470466780215,-1786.6955411829772
3BRD_4_D,1903.8619312500532,-282.3012864659561,-435.6848827206583,-2111.587214170204,1217.668223182547,188.8295145618082
4P3W_2_G,786.9460594320603,1402.9502448096857,271.2757422825249,-497.152049535534,1846.8788436061086,1203.7983795654923
2R28_2_C,2166.015941306792,988.106555177188,-31.82438194685301,-1659.4322807186913,1189.3231177930406,602.4450826525369
1UGX_2_B,872.5308337800167,1376.3026196674527,188.79331926328507,-79.65138449358653,1891.3187467709222,1453.095404595277
2F8E_2_A,169.3375811140902,449.1267244464045,1397.2921951662915,-1714.543998301775,2403.42578414073,-412.97281252398193
2M14_2_B,2930.7618804782123,2764.8631283785253,1931.0105022064042,772.887720535273,5018.00927292009,2800.382110933343
1MUJ_3_C,1658.8654569101977,772.0238777825616,828.0986569790842,-751.3598858523357,1999.2976972345855,1047.904561422272
3J92_45_w,1094.0988730876825,579.737305663034,805.823765755679,-1752.4869413508804,390.2503160089516,-624.9385010285262
2JMF_2_B,1747.442771020048,1601.3884665542057,-92.78932238058675,-683.98857592313,2476.3141241959274,1269.3385988994085
3J92_47_1,1308.0182774035165,2113.2303493665845,1839.3272167085065,-1176.3615621945369,2375.2347207005223,905.8946729705897
2JZ3_1_A,2459.287914180042,1092.7510354299109,3799.1806331409493,-1459.2047318401737,994.8793606732282,855.8061174585298
10#4IGA_2_B,2762.8379531719625,1006.5623606833111,6964.334380795622,-1057.6804779861513,2019.974029511512,613.5443550197438
3IOZ_2_B,-202.99774153515773,-240.29812802959918,-1773.4579075613633,-2416.4385052681787,479.0645977470663,-582.5651174505233
4AK4_2_B,784.7568644549401,997.5488639789103,-425.32282542616554,-855.0885693436334,1766.4586519361985,996.4843770918674
2BAP_2_D,1251.0990572034243,918.2975482737238,-145.8905573831804,-937.2068273165431,2569.8968060888865,924.5578657546932
2XAP_2_D,1060.0190758109966,1048.5459930440818,-69.12375524548133,-850.5841349618602,2259.7675169333256,1450.2171108141963
4XST_2_F,1082.5562433514792,878.9097895062648,-636.2305069604108,-1996.5294162055616,305.71831462141836,772.5013668068002
4WZX_2_E,-1359.3202177839967,-1303.783435687478,-3550.584433093126,-3856.083226968124,-454.2725160203379,-1604.7407111011785
2QV1_2_C,1084.4130587253144,879.0653589597083,-359.4427695772604,-641.4607075086444,7030.652295236328,1608.808674834675
4OH4_2_F,2032.406274971092,1282.2865366187439,104.76534215545831,-785.427977316672,1868.4056906632347,877.3102586771734
2B1A_3_P,1355.8687853561373,1056.775350335701,47303.57891072621,-992.9129253728684,2861.0369525087544,1234.9127119065706
2RFD_2_C,1491.5549290747797,2529.1017072219024,831.600563105945,-257.5268862271306,3450.2457341977106,2241.819539281258
3SYN_2_E,-536.9292698983963,-1196.7357377417175,-3488.403191277804,-4236.618803310887,-785.054989751729,-1494.6491663959634
4ISR_2_D,1283.2615425701956,411.17157415035877,-632.4630524971903,-1619.382942133555,1323.0946952694665,483.22937733816934
1G70_2_B,-484.5370787159063,-1199.7482374858444,-2043.9981140675159,-4238.496122916454,-1280.2593769428786,-1737.871729564056
4FTG_3_E,3853.8339103688263,3446.4737005160296,3075.917210354648,1346.0557814156903,3646.967610310813,3284.733244960812
4A1V_2_C,1787.1798948725223,1718.7057375187997,1901.0206886620285,0.8344544079844525,1737860.7006834568,1573.3375088518153
2I94_2_B,6238.924020639479,1483.646719392881,547923.6777584156,-846.4172696715764,1202.7827227595963,816.3826314273482
3MNZ_1_P,454.63603705177366,715.9425769805384,827.9187979010688,-1824.3891772993993,1271.6460763785667,478.92499706960916
4V0W_2_B,1980.171801440184,2261.767281821987,814.4063847514642,156.1389866013908,2860.157085851011,2221.1064124971963
4LD3_2_B,322.85491513937995,383.3480625859979,-159.21510914111707,-1691.147431332116,2622.2392221142645,916.2840650890164
4XPN_2_B,592.9047087130265,754.1026063179144,-53.70774968646765,-1380.148927847545,1557.3551072555906,660.1962928552924
1T0J_3_C,1241.9437382000299,931.4882742240295,-941.0914602283407,-1750.657598069975,1002.7947305342847,655.1513408075391
1DS5_2_E,4876.855700123791,1883.3894206276632,9301.149469148231,-284.91001041097627,2337.2234779458568,1236.8274231645858
2BBV_3_D,2977.3522502287915,1624.7328426743393,2486.3632386152744,-901.4012029653263,2349.591131823684,1647.1187763266516
3PVL_2_B,202.49599874368857,-204.34299579283925,-1951.4818385482063,-2735.405511835056,327002.77259351837,-434.09746015877226
3CM8_2_B,1414.6628172976698,1478.2802023597364,1115.962904728335,-879.4763638979356,2471.5962116998426,720.7706343686036
3B23_3_C,2749.838168632653,2683.037607871178,5103.568268231669,1239.416997265139,3416.8318167143325,2675.97775548097
3ULY_2_B,1246.4865587431568,765.5989159610276,-784.7630394867049,-1289.028090936883,4425.992878510526,287.5200522963287
3DCG_3_E,2561.4359865732936,1797.8054482031243,39604283789.140526,-136.2332159548901,3042.4490087954246,2022.1809799919686
